# TESS Program G022208

Title: Short Timescale Stellar Variability: Searching For Evolving Or Decaying Eclipsing Binaries And Other Exotic Processes

PI: Zakamska, Nadia - Johns Hopkins University

Type: SMALL

Summary: Compact binaries must have undergone dramatic orbital shrinkage, possibly first via the Kozai mechanism and tidal interaction, and then during the common envelope phase. Detecting period variations in eclipsing binaries is key to identifying candidates undergoing these processes. Here we propose for TESS 2-min cadences for ~1100 short-period (<0.5 day) eclipsing binaries identified from WISE. We will combine WISE and TESS light curves to search for period changes over ~10 years of observations, to measure orbital evolution in close binaries, and to discover binaries with decaying periods possibly on their way to the common envelope phase. Measuring orbital changes in this large sample will allow us to probe key stages of binary evolution.
406929271,287.5273,58.6304,11.93,G022208;G022198
424723563,294.5736,59.0749,10.31,G022062;G022208
229457342,294.9272,63.608,13.99,G022208
229479753,295.6351,64.6951,8.36,G022208
229510628,297.2332,64.6741,13.77,G022208
236884425,303.292,62.0732,11.13,G022062;G022208
236893982,303.5548,60.5165,14.01,G022208
236933995,304.3848,64.8663,12.73,G022208
236998024,305.8281,65.4533,10.81,G022208
237002414,306.0298,62.2205,12.43,G022208
237069277,306.9744,63.4149,10.52,G022208
256379419,298.6936,64.8836,13.53,G022208
256381933,298.7648,63.3307,7.86,G022208
256458698,299.0989,65.6668,13.0,G022208
256562587,299.8191,62.68,12.86,G022208
256797617,301.07,61.0922,13.46,G022208
258391911,297.4192,63.8382,13.84,G022208
259003868,289.9418,68.813,12.12,G022208
259880382,318.9188,62.2308,10.99,G022208
269595425,300.6415,69.8668,9.7,G022208
269660302,300.9579,68.6554,10.93,G022208
269665920,301.4916,66.2927,12.14,G022208
269700358,301.952,68.0647,8.29,G022208
305468549,314.749,65.2509,12.07,G022208
326257590,298.9264,66.5348,10.36,G022208
343409837,310.0146,63.9928,10.43,G022208
343619359,310.9924,62.508,10.86,G022062;G022208
359981627,300.2726,66.1612,9.83,G022208
387261279,309.2906,70.18,11.76,G022208
387356770,310.4662,67.5561,12.92,G022208
387562256,312.6526,67.703,10.02,G022208
388000795,317.5479,68.3791,13.15,G022208
467294853,309.1939,61.2278,12.68,G022208
235945613,296.5216,78.9283,10.45,G022208
235999079,304.5449,78.7543,11.69,G022208
237204998,293.5459,77.0248,13.52,G022208
237229242,296.9705,72.9088,13.97,G022208
237234024,297.5245,75.1172,12.78,G022208
237252959,298.5713,73.3888,9.32,G022208
237254243,298.9121,72.5465,13.75,G022208
237277760,299.1197,73.6159,8.7,G022062;G022208
237278994,299.6589,72.2383,10.18,G022062;G022208
237290473,300.8468,73.5294,13.83,G022208
237304941,302.799,74.323,14.21,G022208
258832281,287.8318,71.1329,13.58,G022208
264007205,306.0534,80.2238,8.98,G022208
333869331,309.3836,72.902,13.58,G022208
362220017,286.0264,78.7527,8.3,G022208
364130065,307.4133,73.9095,9.76,G022208
364186087,313.4035,72.7109,13.93,G022208
418221292,322.8999,77.8866,11.43,G022208
420114776,290.4289,74.7681,13.31,G022208
420134797,291.4195,76.5616,13.13,G022208
470121167,329.637,80.3378,12.44,G022153;G022208
2050524843,347.8398,68.983,18.58,G022208
279605117,346.6736,70.7497,8.81,G022003;G022208
354119540,327.6198,73.897,12.47,G022208
366329064,328.6687,72.1117,11.61,G022208
366473443,330.7893,73.1394,12.76,G022208
366761761,334.8128,72.7739,11.28,G022208
368108303,357.4404,69.083,11.53,G022208
378584712,0.6933,69.8736,12.68,G022208
426111509,343.6549,77.4806,10.54,G022208
428962300,345.6042,72.8117,10.73,G022208
428987718,345.7822,77.9916,11.12,G022208
468293391,7.1162,78.9619,10.03,G022208
470208013,339.9212,78.084,10.03,G022208
256432306,324.7873,66.7491,12.42,G022208
316463634,324.0361,63.8716,14.15,G022208
322208686,325.4026,67.7609,9.3,G022208
322390188,326.6118,66.1718,13.98,G022208
336193530,333.626,60.0619,13.35,G022208
337094559,335.636,63.5863,9.35,G022208
338071673,337.8158,63.5227,8.51,G022062;G022208
338830718,339.1856,62.2553,10.61,G022208
372340793,331.7941,69.1366,13.59,G022208
401222202,324.5035,59.7703,12.76,G022208
404898228,323.705,65.0033,13.36,G022208
422302977,335.8794,59.3116,13.37,G022208
422515013,328.7697,70.9802,12.65,G022208
427151775,321.6099,62.5912,13.53,G022208
433699422,341.3233,64.2586,12.25,G022208
434263449,344.7519,62.4741,13.23,G022208
455896112,339.8061,64.8596,8.91,G022208
455911793,339.8107,60.2522,12.56,G022208
456037528,340.3318,65.2014,13.62,G022208
2045772593,357.1398,57.7491,9.52,G022208
251866569,351.5062,56.7202,10.31,G022208
26137600,353.7431,51.8317,14.27,G022208
315296464,347.5669,56.6037,14.13,G022208
320377212,7.6379,57.7297,13.94,G022208
320380142,7.7654,58.7532,12.4,G022208
323921166,348.8399,57.4621,13.38,G022208
326675379,1.6557,55.456,8.58,G022208
326780743,1.8997,58.6593,13.76,G022208
327370342,4.6948,59.3955,10.72,G022208
345695940,356.3947,54.5579,12.78,G022208
345788737,356.6481,57.7053,13.82,G022208
346599599,359.7412,51.8911,12.55,G022208
371480725,342.873,57.0049,9.88,G022062;G022208
377662721,348.4053,59.8851,12.48,G022208
378042585,352.0751,63.3908,7.93,G022208
389191008,343.7926,56.4546,14.01,G022208
431556104,357.5716,51.1913,12.74,G022208
431709774,358.7291,51.4854,13.83,G022208
65103962,357.7195,57.5485,12.13,G022208
65369106,358.7056,56.2709,14.04,G022208
279276210,7.4939,63.6221,13.59,G022208
283939331,8.8682,62.4991,13.2,G022208
284603152,10.3669,64.3575,10.86,G022208
284925600,12.0057,60.8617,10.68,G022062;G022208
351876618,13.8174,65.9324,12.1,G022208
366104536,7.153,63.5473,12.96,G022208
368452480,11.7599,68.5419,11.19,G022208
368460130,12.0247,70.6414,11.75,G022208
399271789,26.5271,64.3486,13.15,G022208
407159953,6.132,66.4276,13.82,G022208
419531467,8.2915,62.329,11.64,G022208
470824646,358.5978,65.8069,11.47,G022208
52040219,14.0574,65.1211,9.38,G022208
53963396,18.3422,60.7643,10.71,G022208
54533646,19.7592,61.6758,12.29,G022208

# Sector 025 targets observed (248)
101721979,260.0199,36.8656,12.91,G022208
18271803,264.9034,32.9464,9.54,G022062;G022208
21829304,256.8081,32.2966,11.3,G022208
257273424,256.8807,28.042,8.47,G022062;G022208
286338346,260.3848,29.8625,11.58,G022062;G022208
286380389,260.7404,29.3452,8.54,G022062;G022208
332394796,255.6086,27.4637,10.53,G022208
39426509,262.5135,34.7528,13.04,G022208
460055375,266.1974,27.6195,11.73,G022208
17563811,243.8342,35.7073,10.52,G022208
17568668,244.2264,31.1227,11.92,G022062;G022208
224328133,251.2199,30.4712,13.51,G022208
255908136,247.0961,36.9337,11.04,G022062;G022208
255930833,247.6863,37.5059,13.54,G022208
458717312,253.22,38.6579,10.26,G022062;G022208
68901227,249.6906,39.3887,11.3,G022208
149736571,245.905,15.9553,11.81,G022208
219747045,247.1179,27.2278,14.04,G022208
229573710,240.4835,20.4727,13.19,G022208
230221493,245.5062,20.4293,10.83,G022208
236004686,250.9906,26.2957,12.39,G022208
236013183,251.644,26.1663,14.09,G022208
236338880,242.5213,25.6151,11.59,G022062;G022208
258131030,246.2824,19.7832,11.22,G022208
258172452,250.5124,21.5652,13.98,G022208
329118239,245.2886,25.6561,11.25,G022062;G022208
356000389,239.313,25.9158,14.25,G022208
141981045,255.331,17.079,13.47,G022208
143100813,256.8202,17.4269,9.84,G022208
287256222,258.8321,17.9676,9.9,G022208
310629227,254.8499,15.2076,11.84,G022208
356234487,260.1057,22.1353,12.52,G022208
393824894,261.0488,14.7759,9.01,G022208
188816156,262.4061,52.5473,11.84,G022208
232617358,268.265,59.2277,10.16,G022208
232633677,269.4839,57.3652,13.52,G022208
232680968,282.5122,57.1742,14.12,G022208
233509063,270.4568,51.2237,12.13,G022208
236788376,283.2102,56.0622,13.73,G022208
237117923,269.8465,54.2814,10.02,G022208
237130278,277.8058,52.7854,11.01,G022062;G022208
298661555,272.448,49.0485,12.6,G022208
298783295,278.7656,54.7778,13.55,G022208
320524167,264.7939,54.2443,10.13,G022208
332474962,265.3159,54.5661,11.2,G022208
353894978,271.6859,56.407,10.32,G022099;G022208
357045445,274.3045,55.6641,12.96,G022165;G022208
357099320,275.0042,55.7476,9.03,G022208
359496762,279.1177,56.0261,11.98,G022198;G022208
359552286,279.2585,57.8908,13.98,G022208
359553260,279.3635,56.2276,11.03,G022208;G022198
359631418,280.1823,57.5888,13.59,G022208
359679558,281.0692,55.259,8.82,G022208
377100047,285.0607,56.0669,14.17,G022208
389966066,277.0804,55.6741,7.4,G022208
389968719,277.2993,56.5121,12.53,G022208;G022198
390019825,277.4452,54.5687,10.51,G022208
390020415,277.6439,54.2163,12.05,G022208
390021728,277.7936,56.4175,11.54,G022062;G022208
420899356,273.3682,52.0941,10.37,G022208
47626069,278.7917,51.888,10.83,G022062;G022208
7720507,274.0755,47.4978,8.65,G022208
159981348,241.2141,53.7199,12.77,G022208
198358563,256.3804,56.5022,12.61,G022208
198366673,257.244,55.8949,11.75,G022062;G022208
198410119,258.9668,53.9908,11.05,G022062;G022208
199610813,249.0069,59.7447,12.52,G022141;G022208
199682033,252.4161,58.2567,11.6,G022208
199708835,253.4908,55.5572,10.49,G022208
199715197,254.4675,54.7149,12.09,G022062;G022208
219740742,242.1356,63.3107,11.71,G022062;G022208
224602141,255.1883,56.3072,11.44,G022198;G022208
224602502,255.2652,55.2484,12.62,G022208
224606205,255.7209,55.1297,13.81,G022208
298264838,247.6982,54.9009,11.01,G022208
459979709,255.8496,62.5664,12.58,G022208
115288764,250.8935,44.5773,9.31,G022208
159939533,240.3413,48.4943,11.99,G022062;G022208
193515431,245.3224,44.2149,14.37,G022208
219494344,243.7752,44.9727,11.41,G022208
274551602,254.246,49.7799,12.57,G022208
274676647,256.2878,49.2089,11.28,G022062;G022208
39826778,244.0385,40.7682,11.61,G022208
57332272,252.2837,39.57,13.54,G022165;G022208
101719607,259.9018,40.925,11.33,G022062;G022208
115971584,266.0442,40.2808,10.29,G022062;G022208
164374386,265.5584,46.911,12.23,G022208
193578361,265.7958,43.4527,12.44,G022208
193624940,266.2967,43.6051,13.85,G022208
193819456,268.8645,44.1151,11.14,G022062;G022208
235594340,270.2817,41.8558,11.04,G022208
270256611,262.44,44.812,12.68,G022208
270400213,263.7261,44.1977,12.96,G022208
85375231,257.0985,39.9638,13.1,G022208
160472514,237.706,72.2112,9.38,G022062;G022173;G022208
160518449,239.9774,74.459,10.08,G022208
160603897,245.1179,75.3116,13.11,G022208
198185723,245.4931,64.5922,12.68,G022208
219750805,261.0179,63.6423,12.43,G022208
219866044,259.0571,67.1107,13.44,G022208
219866069,259.0915,67.1671,12.7,G022208
219868627,259.2868,67.9535,13.48,G022208
219868946,259.4062,66.97,13.71,G022208
219893380,262.5829,69.9237,9.54,G022208
232984544,241.8551,66.7298,14.11,G022208
233005602,242.3963,70.326,10.88,G022062;G022208
233011700,248.5152,72.5615,12.27,G022208
233203881,265.4603,71.6578,14.14,G022208
233656723,259.7125,65.8492,13.71,G022208
233656955,259.5894,64.9626,13.6,G022208
233660053,259.8693,65.375,10.65,G022208
233660303,260.1754,65.64,7.31,G022030;G022208
233660333,260.0918,65.5253,10.83,G022208
233660589,260.2425,64.594,13.26,G022208
233681151,260.261,65.0272,13.23,G022208
233681482,260.5712,65.7109,13.27,G022208
233684862,260.9524,64.9784,11.8,G022208
341872997,275.383,72.6097,12.1,G022208
441804674,266.0454,72.0509,9.03,G022099;G022103;G022208
219819617,267.811,62.7833,13.8,G022208
229457342,294.9272,63.608,13.99,G022208
229479753,295.6351,64.6951,8.36,G022208
229510628,297.2332,64.6741,13.77,G022208
229704430,277.6847,67.614,14.21,G022208
229709170,278.4596,66.9569,14.05,G022208
229767960,281.9416,68.3153,11.66,G022208
229780194,283.2273,70.8236,12.79,G022208
229910234,287.4042,61.0644,9.89,G022208
229910746,287.3498,61.8379,10.08,G022208
230024775,291.922,63.8719,13.85,G022208
230393824,286.309,65.2704,13.43,G022208
233059528,269.7412,64.3276,14.1,G022208
233060434,269.7289,62.1941,12.77,G022208
233075294,271.3092,64.9509,13.9,G022208
233128615,274.2201,65.0725,13.26,G022208
233531814,280.6241,64.0517,14.04,G022208
233544995,281.401,62.7624,11.67,G022062;G022208
233720276,276.3578,62.9403,8.49,G022208
233733505,277.6206,64.1962,8.18,G022030;G022208
243279213,288.4661,58.1672,8.76,G022208
243286221,288.5711,58.2069,11.06,G022208
256379419,298.6936,64.8836,13.53,G022208
256381933,298.7648,63.3307,7.86,G022208
256458698,299.0989,65.6668,13.0,G022208
258391911,297.4192,63.8382,13.84,G022208
259003868,289.9418,68.813,12.12,G022208
259099970,291.263,68.2139,11.93,G022208
377052808,285.0269,57.3797,10.03,G022208
377055044,285.1279,59.2039,13.06,G022208
377098752,285.2016,57.8133,7.65,G022208
377190161,285.6751,58.7328,10.11,G022062;G022208
406856666,274.6174,67.0865,12.24,G022208
406929271,287.5273,58.6304,11.93,G022208;G022198
416193367,285.5918,70.2933,13.43,G022208
236933995,304.3848,64.8663,12.73,G022208
236998024,305.8281,65.4533,10.81,G022208
237229242,296.9705,72.9088,13.97,G022208
237234024,297.5245,75.1172,12.78,G022208
237252959,298.5713,73.3888,9.32,G022208
237254243,298.9121,72.5465,13.75,G022208
237277760,299.1197,73.6159,8.7,G022062;G022208
237278851,299.7505,72.0182,10.03,G022208
237278994,299.6589,72.2383,10.18,G022062;G022208
237290473,300.8468,73.5294,13.83,G022208
237304941,302.799,74.323,14.21,G022208
256640207,327.5462,71.4439,9.28,G022062;G022208
258459561,300.0428,67.0391,10.41,G022208
264253573,295.503,71.4247,13.61,G022208
269595425,300.6415,69.8668,9.7,G022208
269660302,300.9579,68.6554,10.93,G022208
269665920,301.4916,66.2927,12.14,G022208
269700358,301.952,68.0647,8.29,G022208
333733223,303.6352,72.1454,9.09,G022208
333869331,309.3836,72.902,13.58,G022208
354119540,327.6198,73.897,12.47,G022208
364130065,307.4133,73.9095,9.76,G022208
364186087,313.4035,72.7109,13.93,G022208
366329064,328.6687,72.1117,11.61,G022208
387261279,309.2906,70.18,11.76,G022208
387356770,310.4662,67.5561,12.92,G022208
387562256,312.6526,67.703,10.02,G022208
387994576,317.0633,68.6152,13.04,G022208
388000795,317.5479,68.3791,13.15,G022208
390950556,318.2562,72.4639,13.35,G022208
402442888,294.279,71.7446,13.7,G022208
418221292,322.8999,77.8866,11.43,G022208
420114776,290.4289,74.7681,13.31,G022208
422515013,328.7697,70.9802,12.65,G022208
423954063,328.3739,71.7522,13.68,G022208
159345581,235.5277,81.848,13.89,G022208
159346490,236.2351,79.5174,10.74,G022208
159454849,243.3316,81.3935,12.0,G022208
159510983,248.0691,77.9035,11.55,G022062;G022208
160164029,243.4286,84.3278,13.84,G022208
160533733,241.1725,76.4471,10.58,G022208
229616860,278.6264,73.4282,13.84,G022208
235712394,252.9226,81.7456,13.98,G022208
235945613,296.5216,78.9283,10.45,G022208
264007205,306.0534,80.2238,8.98,G022208
268392799,275.9093,85.0807,13.2,G022208
362220017,286.0264,78.7527,8.3,G022208
154875092,195.9101,88.402,11.01,G022208
279923419,38.9931,80.4957,13.84,G022141;G022071;G022254;G022208
385442996,23.8456,79.2677,13.1,G022208
402847504,17.6508,80.3472,9.38,G022208
428772119,26.4939,80.0821,10.82,G022208
461625381,14.5959,84.4615,12.34,G022208
468276605,5.6238,80.7441,10.91,G022208
468276746,6.1705,80.9709,13.11,G022208
468318035,9.7766,79.3193,10.79,G022208
470239358,346.3003,82.8094,9.7,G022208
2050524843,347.8398,68.983,18.58,G022208
279605117,346.6736,70.7497,8.81,G022003;G022208
366473443,330.7893,73.1394,12.76,G022208
366761761,334.8128,72.7739,11.28,G022208
368108303,357.4404,69.083,11.53,G022208
372340793,331.7941,69.1366,13.59,G022208
375854100,336.1062,70.3326,12.69,G022208
378580366,0.7266,67.7093,14.16,G022208
378584712,0.6933,69.8736,12.68,G022208
426111509,343.6549,77.4806,10.54,G022208
428962300,345.6042,72.8117,10.73,G022208
428987718,345.7822,77.9916,11.12,G022208
468670361,19.0877,76.8027,8.53,G022208
470208013,339.9212,78.084,10.03,G022208
12825453,33.9888,65.9518,12.79,G022208
302624355,28.3528,69.4594,12.2,G022208
302627455,28.495,71.6905,11.96,G022062;G022208
351876618,13.8174,65.9324,12.1,G022208
368452480,11.7599,68.5419,11.19,G022208
368460130,12.0247,70.6414,11.75,G022208
378767101,4.5982,67.2124,13.78,G022208
379628820,34.4203,71.2554,12.45,G022208
389696073,23.1726,65.0683,13.17,G022208
399271789,26.5271,64.3486,13.15,G022208
407159953,6.132,66.4276,13.82,G022208
420469129,8.1788,66.5695,10.19,G022208
52040219,14.0574,65.1211,9.38,G022208
52790360,17.185,65.2151,11.48,G022208
54533646,19.7592,61.6758,12.29,G022208
140839172,76.3435,72.325,13.82,G022208
275911914,54.3112,69.1798,11.53,G022252;G022039;G022208;G022198
276232142,56.2661,70.7256,10.2,G022208
354922610,39.3807,71.3046,9.85,G022062;G022208
395943466,36.1709,76.7702,13.07,G022208
396531402,43.9562,72.9577,13.06,G022208
418244848,50.3604,73.4356,9.08,G022003;G022208
418292123,55.8454,76.6596,12.04,G022208

# Sector 026 targets observed (246)
7720507,274.0755,47.4978,8.65,G022208
18271803,264.9034,32.9464,9.54,G022062;G022208
21829304,256.8081,32.2966,11.3,G022208
23389349,275.1441,31.2268,11.84,G022208
23936839,276.0671,35.2413,12.24,G022208
24066056,276.5671,34.9189,11.03,G022208
39426509,262.5135,34.7528,13.04,G022208
43571341,264.8921,16.8957,13.49,G022109;G022208;G022148
43791458,265.462,17.025,13.54,G022208
47626069,278.7917,51.888000000000005,10.83,G022062;G022208
47629196,279.0077,48.7099,10.66,G022208
49967912,277.8276,13.7108,13.72,G022208
68545734,280.817,32.4136,11.79,G022208
68632409,281.115,30.3996,8.77,G022208
76305215,274.1283,37.184,10.58,G022208
82407313,254.9111,39.8516,9.66,G022208
85375231,257.0985,39.9638,13.1,G022208
99639914,107.7867,69.8743,13.44,G022208
101719607,259.9018,40.925,11.33,G022062;G022208
101721979,260.0199,36.8656,12.91,G022208
115971584,266.0442,40.2808,10.29,G022062;G022208
120313660,284.6805,38.2417,13.33,G022208
122891349,278.4003,46.5947,10.81,G022062;G022208
135416254,271.2154,18.0132,11.06,G022208
140839172,76.3435,72.325,13.82,G022208
142619515,171.0227,77.8711,12.38,G022208
154339231,99.0997,72.8667,14.02,G022208
154453805,126.8926,83.8823,10.07,G022208
154808394,174.5812,87.3196,13.04,G022208
154875092,195.9101,88.402,11.01,G022208
155657581,206.392,79.3971,11.19,G022039;G022240;G022238;G022208
156103335,166.5871,79.6544,12.52,G022208
157647276,279.4089,40.4075,13.96,G022208
157647583,279.4196,40.7683,13.47,G022208
157652824,279.5862,37.4713,10.96,G022208
158183591,274.2199,17.9508,10.17,G022208
158849879,269.9207,23.9847,13.39,G022208
159345581,235.5277,81.848,13.89,G022208
159346490,236.2351,79.5174,10.74,G022208
159454849,243.3316,81.3935,12.0,G022208
159510983,248.0691,77.9035,11.55,G022062;G022208
160164029,243.4286,84.3278,13.84,G022208
160472514,237.706,72.2112,9.38,G022062;G022173;G022208
160518449,239.9774,74.459,10.08,G022208
160533733,241.1725,76.4471,10.58,G022208
160603897,245.1179,75.3116,13.11,G022208
164374386,265.5584,46.911,12.23,G022208
164557531,283.7665,47.8191,10.54,G022062;G022208
166276444,273.5352,13.9565,13.5,G022208
180697987,272.0774,34.5771,11.48,G022208
180698725,272.1491,33.7015,11.0,G022208
180770456,272.6006,33.4032,9.1,G022173;G022062;G022208
188816156,262.4061,52.5473,11.84,G022208
193578361,265.7958,43.4527,12.44,G022208
193624940,266.2967,43.6051,13.85,G022208
193819456,268.8645,44.1151,11.14,G022062;G022208
198185723,245.4931,64.5922,12.68,G022208
198358563,256.3804,56.5022,12.61,G022208
198366673,257.244,55.8949,11.75,G022062;G022208
198410119,258.9668,53.9908,11.05,G022062;G022208
198457251,261.737,57.0322,13.1,G022208
198457457,261.8349,56.3751,9.4,G022062;G022208
199682033,252.4161,58.2567,11.6,G022208
199708835,253.4908,55.5572,10.49,G022208
199715197,254.4675,54.7149,12.09,G022062;G022208
219436075,205.2746,77.3722,14.06,G022208
219750805,261.0179,63.6423,12.43,G022208
219819617,267.811,62.7833,13.8,G022208
219866044,259.0571,67.1107,13.44,G022208
219866069,259.0915,67.1671,12.7,G022208
219893380,262.5829,69.9237,9.54,G022208
224602141,255.1883,56.3072,11.44,G022198;G022208
224602502,255.2652,55.2484,12.62,G022208
224606205,255.7209,55.1297,13.81,G022208
229457342,294.9272,63.608000000000004,13.99,G022208
229479753,295.6351,64.6951,8.36,G022208
229510628,297.2332,64.6741,13.77,G022208
229538448,221.7552,74.6819,12.58,G022208
229704430,277.6847,67.61399999999999,14.21,G022208
229709170,278.4596,66.9569,14.05,G022208
229767960,281.9416,68.3153,11.66,G022208
229780194,283.2273,70.8236,12.79,G022208
229910234,287.4042,61.0644,9.89,G022208
229910746,287.3498,61.8379,10.08,G022208
230024775,291.922,63.8719,13.85,G022208
230273344,271.8964,22.6636,11.02,G022208
230393824,286.309,65.2704,13.43,G022208
232617358,268.265,59.2277,10.16,G022208
232633677,269.4839,57.3652,13.52,G022208
232680968,282.5122,57.1742,14.12,G022208
232984544,241.8551,66.7298,14.11,G022208
233005602,242.3963,70.32600000000001,10.88,G022062;G022208
233006806,247.3011,75.456,12.4,G022208;G022198
233075294,271.3092,64.9509,13.9,G022208
233128615,274.2201,65.0725,13.26,G022208
233203881,265.4603,71.6578,14.14,G022208
233531814,280.6241,64.0517,14.04,G022208
233544995,281.401,62.7624,11.67,G022062;G022208
233656723,259.7125,65.8492,13.71,G022208
233656955,259.5894,64.9626,13.6,G022208
233660053,259.8693,65.375,10.65,G022208
233660303,260.1754,65.64,7.31,G022030;G022208
233660333,260.0918,65.5253,10.83,G022208
233660589,260.2425,64.594,13.26,G022208
233681151,260.26099999999997,65.0272,13.23,G022208
233681482,260.5712,65.7109,13.27,G022208
233684862,260.9524,64.9784,11.8,G022208
233720276,276.3578,62.9403,8.49,G022208
233733505,277.6206,64.1962,8.18,G022030;G022208
235598526,272.6615,18.097,12.17,G022208
235612261,272.8765,19.8011,11.04,G022208
235651762,277.5713,21.6777,13.51,G022208
235712394,252.9226,81.7456,13.98,G022208
235945613,296.5216,78.9283,10.45,G022208
235999079,304.5449,78.7543,11.69,G022208
236788376,283.2102,56.0622,13.73,G022208
237130278,277.8058,52.7854,11.01,G022062;G022208
237204998,293.5459,77.0248,13.52,G022208
237229242,296.9705,72.9088,13.97,G022208
237234024,297.5245,75.1172,12.78,G022208
237252959,298.5713,73.3888,9.32,G022208
237254243,298.9121,72.5465,13.75,G022208
237277760,299.1197,73.6159,8.7,G022062;G022208
237278851,299.7505,72.0182,10.03,G022208
237278994,299.6589,72.2383,10.18,G022062;G022208
237290473,300.8468,73.5294,13.83,G022208
237304941,302.79900000000004,74.32300000000001,14.21,G022208
243279213,288.4661,58.1672,8.76,G022208
243286221,288.5711,58.2069,11.06,G022208
243352373,290.2687,56.3285,10.23,G022062;G022208
243354243,290.2621,58.6723,10.46,G022208
255574842,280.1584,22.4961,11.16,G022208
256258168,276.4114,18.2946,8.73,G022103;G022208
256379419,298.6936,64.8836,13.53,G022208
256458698,299.0989,65.6668,13.0,G022208
257583211,258.7502,25.5979,11.54,G022208
258391911,297.4192,63.8382,13.84,G022208
258459561,300.0428,67.0391,10.41,G022208
258832281,287.8318,71.1329,13.58,G022208
259003868,289.9418,68.813,12.12,G022208
259099970,291.263,68.2139,11.93,G022208
264007205,306.0534,80.2238,8.98,G022208
264253573,295.503,71.4247,13.61,G022208
264544867,326.0556,80.455,12.81,G022208
268392799,275.9093,85.0807,13.2,G022208
269595425,300.6415,69.8668,9.7,G022208
269660302,300.9579,68.6554,10.93,G022208
269700358,301.952,68.0647,8.29,G022208
270256611,262.44,44.812,12.68,G022208
270400213,263.7261,44.1977,12.96,G022208
270491267,232.36,70.1983,12.95,G022141;G022057;G022158;G022208
274551602,254.24599999999998,49.7799,12.57,G022208
274676647,256.2878,49.2089,11.28,G022062;G022208
275063368,268.3568,21.1369,10.33,G022208
275147680,268.6661,19.5072,12.39,G022208
276232142,56.2661,70.7256,10.2,G022208
279923419,38.9931,80.4957,13.84,G022141;G022071;G022254;G022208
284457791,290.9327,58.3179,12.48,G022208
284890361,260.4364,54.5592,11.66,G022232;G022062;G022208
286338346,260.3848,29.8625,11.58,G022062;G022208
286380389,260.7404,29.3452,8.54,G022062;G022208
286968775,268.7649,14.1774,10.79,G022208
287256222,258.8321,17.9676,9.9,G022208
288882010,276.6051,41.3374,10.31,G022062;G022208
289531669,278.7662,39.5246,13.73,G022208
289969374,118.6272,78.1121,10.28,G022208
298661555,272.448,49.0485,12.6,G022208
298783295,278.7656,54.7778,13.55,G022208
298967445,288.5069,49.0949,9.95,G022062;G022208
299091036,288.8285,52.4933,10.65,G022062;G022208
308297858,267.7234,26.9137,11.59,G022208
309998013,214.0742,76.211,11.69,G022208
317372176,280.559,27.7679,13.81,G022208
320524167,264.7939,54.2443,10.13,G022208
326257590,298.9264,66.5348,10.36,G022208
332474962,265.3159,54.5661,11.2,G022208
333733223,303.6352,72.1454,9.09,G022208
333869331,309.3836,72.902,13.58,G022208
342573820,276.5905,20.7496,12.52,G022208
342741675,276.9177,23.7277,11.87,G022208
353894978,271.6859,56.407,10.32,G022099;G022208
356234487,260.1057,22.1353,12.52,G022208
357045445,274.3045,55.6641,12.96,G022165;G022208
357099320,275.0042,55.7476,9.03,G022208
357790008,277.08099999999996,44.1564,10.71,G022208
357794973,277.2705,45.4794,12.56,G022208
358018764,126.3235,84.4232,11.97,G022208
359496762,279.1177,56.0261,11.98,G022198;G022208
359552286,279.2585,57.8908,13.98,G022208
359553260,279.3635,56.2276,11.03,G022208;G022198
359631418,280.1823,57.5888,13.59,G022208
359679558,281.0692,55.25899999999999,8.82,G022208
359981627,300.2726,66.1612,9.83,G022208
362220017,286.0264,78.7527,8.3,G022208
363730147,265.5253,18.7897,11.54,G022208
364028674,267.2659,18.4213,8.23,G022208
364130065,307.4133,73.9095,9.76,G022208
364186087,313.4035,72.7109,13.93,G022208
368207862,264.8761,18.7841,13.15,G022208
368208585,264.9375,17.9786,12.97,G022208
368208652,265.1669,17.9365,10.55,G022208
376990589,284.2444,54.5015,12.97,G022208
377052808,285.0269,57.3797,10.03,G022208
377055044,285.1279,59.2039,13.06,G022208
377098752,285.2016,57.8133,7.65,G022208
377100047,285.0607,56.0669,14.17,G022208
377190161,285.6751,58.7328,10.11,G022062;G022208
385442996,23.8456,79.2677,13.1,G022208
389773940,151.32299999999998,87.0152,11.91,G022208
389966066,277.0804,55.6741,7.4,G022208
389968719,277.2993,56.5121,12.53,G022208;G022198
390020415,277.6439,54.2163,12.05,G022208
390021728,277.7936,56.4175,11.54,G022062;G022208
392531346,278.0322,26.5537,13.56,G022208
393824894,261.0488,14.7759,9.01,G022208
396737942,97.3915,71.0766,12.85,G022141;G022071;G022208
400302671,263.3242,14.5054,11.9,G022208
402442888,294.279,71.7446,13.7,G022208
402847504,17.6508,80.3472,9.38,G022208
406856666,274.6174,67.0865,12.24,G022208
406929271,287.5273,58.6304,11.93,G022208;G022198
416193367,285.5918,70.2933,13.43,G022208
416269516,289.5764,53.7239,13.14,G022208
418221292,322.8999,77.8866,11.43,G022208
418244848,50.3604,73.4356,9.08,G022003;G022208
418292123,55.8454,76.6596,12.04,G022208
420114776,290.4289,74.7681,13.31,G022208
420134797,291.4195,76.5616,13.13,G022208
420899356,273.3682,52.0941,10.37,G022208
428772119,26.4939,80.0821,10.82,G022208
441591821,113.6583,72.6409,12.47,G022208
